20801,9748,435,1
10174,15567,435,1
23656,4127,435,1
10618,22326,435,1
9853,41,435,1
25036,350,435,1
19625,2216,435,1
11785,1917,435,1
12363,379,435,1
25868,23109,435,1
2013,23948,435,1
11568,153,435,1
7932,86,435,1
17630,19519,435,1
18668,6273,435,1
19927,6728,435,1
8474,23761,435,1
25847,130,435,1
25868,22391,435,1
24138,3113,435,1
10082,23890,435,1
26274,21592,435,1
949,10458,435,1
4267,13033,435,1
10848,1004,435,1
14300,218,435,1
13869,495,435,1
2412,3963,435,1
1706,4241,435,1
7806,14803,435,1
11110,12473,435,1
1616,420,435,1
8305,22034,435,1
1664,1122,435,1
6213,864,435,1
1315,10076,435,1
25296,5471,435,1
14627,21,435,1
9665,1284,435,1
24975,22370,435,1
26316,23257,435,1
25950,4230,435,1
7806,7963,435,1
9484,19444,435,1
17848,20907,435,1
3894,163,435,1
21612,15343,435,1
15411,13262,435,1
25782,18914,435,1
18165,12428,435,1
20677,441,435,1
14932,20482,435,1
18165,7963,435,1
24634,17362,435,1
1664,18776,435,1
25868,24882,435,1
139,20859,435,1
16307,130,435,1
15253,20048,435,1
10220,1211,435,1
19100,22871,435,1
24138,2039,435,1
18713,11617,435,1
15720,21937,435,1
23635,23962,435,1
16277,7698,435,1
18369,24035,435,1
15253,4055,435,1
5338,5972,435,1
344,1275,435,1
601,11126,435,1
1664,13654,435,1
25868,23502,435,1
16489,1036,435,1
11819,12859,435,1
8651,3504,435,1
9482,12832,435,1
25601,24913,435,1
25841,5312,435,1
9853,1235,435,1
11224,2068,435,1
13158,529,435,1
25296,2153,435,1
2647,1377,435,1
4342,14560,435,1
10393,24646,435,1
8285,1708,435,1
7649,12205,435,1
15343,7509,435,1
8357,16970,435,1
14113,1717,435,1
15271,748,435,1
9547,667,435,1
12799,580,435,1
5961,374,435,1
18574,687,435,1
19621,24822,435,1
23067,24675,435,1
14549,6710,435,1
18756,7509,435,1
21012,1219,435,1
20178,2461,435,1
24958,4137,435,1
20983,133,435,1
20983,131,435,1
7968,6318,435,1
749,22992,435,1
17808,405,435,1
15770,17448,435,1
25601,24798,435,1
11568,2601,435,1
1409,11640,435,1
17630,23621,435,1
25868,24909,435,1
15060,379,435,1
12524,14405,435,1
1999,295,435,1
23067,661,435,1
23265,24294,435,1
10456,1877,435,1
1497,1333,435,1
9482,169,435,1
6317,17526,435,1
25096,8429,435,1
24324,4845,435,1
24871,288,435,1
12983,103,435,1
2573,5046,435,1
16374,16651,435,1
20677,9013,435,1
5784,24686,435,1
19327,23811,435,1
25841,1539,435,1
15943,495,435,1
21585,23944,435,1
15236,24113,435,1
18938,9176,435,1
12454,4594,435,1
2438,7190,435,1
11331,9446,435,1
14299,109,435,1
16307,9005,435,1
5558,18338,435,1
15862,374,435,1
4318,16380,435,1
8625,7598,435,1
10362,23485,435,1
4022,2147,435,1
20828,14689,435,1
7707,3443,435,1
8651,20482,435,1
23570,1105,435,1
912,1079,435,1
7932,183,435,1
9482,802,435,1
9505,353,435,1
8235,4372,435,1
601,1119,435,1
7773,5373,435,1
20218,1754,435,1
11310,18832,435,1
15343,149,435,1
4815,7616,435,1
18574,1143,435,1
18668,1210,435,1
20677,9342,435,1
6547,275,435,1
9841,8209,435,1
5412,1190,435,1
8197,24671,435,1
24467,513,435,1
17671,21937,435,1
11967,3120,435,1
1698,4127,435,1
1999,17680,435,1
13730,385,435,1
24975,295,435,1
10505,22577,435,1
10722,13197,435,1
3951,3840,435,1
24285,592,435,1
22723,16410,435,1
26059,22326,435,1
7898,6120,435,1
20598,133,435,1
18257,1447,435,1
13869,6733,435,1
2255,495,435,1
