0,116
0,496
0,550
0,773
0,935
1,207
1,465
1,967
1,1063
1,1166
1,1187
1,1253
2,416
2,1166
2,1320
2,1625
3,476
3,529
3,680
3,1571
4,55
4,244
5,528
5,575
5,904
5,917
5,1143
5,1224
5,1412
6,20
6,343
6,528
6,605
6,1300
6,1473
6,1478
6,1602
7,56
7,57
7,181
7,681
7,1169
8,343
8,434
8,1039
8,1466
8,1635
9,6
9,63
9,300
9,343
9,737
9,1318
9,1429
10,343
10,344
10,903
10,1336
10,1403
11,392
11,719
11,1253
11,1466
12,6
12,392
12,719
12,1466
12,1509
13,390
13,566
13,719
13,1224
13,1253
13,1466
13,1571
14,38
14,219
14,442
14,469
14,1024
15,39
15,219
15,348
15,442
15,510
15,661
16,206
16,345
16,819
16,930
16,972
16,974
16,1006
17,345
17,514
17,690
17,972
17,1006
17,1293
17,1317
18,168
18,300
18,499
18,596
18,1556
18,1589
19,545
19,834
19,878
19,1416
20,60
20,545
20,664
20,834
20,878
20,1051
20,1416
21,664
21,839
21,1051
21,1416
22,38
22,344
22,664
22,878
22,1051
22,1195
22,1243
23,344
23,707
23,834
23,838
23,878
23,1430
23,1431
23,1466
24,106
24,344
24,664
24,1185
24,1248
24,1502
24,1504
25,937
25,980
25,1055
25,1614
26,115
26,163
26,773
26,780
26,831
26,1287
26,1533
27,184
27,443
27,981
27,1571
28,207
28,442
28,1006
28,1253
28,1473
28,1547
28,1614
28,1619
28,1632
29,21
29,38
29,195
29,790
29,1569
30,39
30,207
31,102
31,159
31,291
31,741
32,116
32,535
32,719
32,844
32,981
32,1360
32,1614
33,63
33,384
33,443
33,1006
33,1115
33,1614
34,85
34,607
34,896
34,1277
35,39
35,85
35,345
35,560
35,780
35,896
35,1277
36,63
36,116
36,217
36,607
36,622
36,757
36,895
36,896
36,927
37,85
37,345
37,420
37,780
37,792
37,927
37,1277
38,85
38,345
38,757
38,780
38,896
38,1277
38,1340
39,85
39,780
39,896
39,1164
39,1218
39,1277
39,1468
40,38
40,166
40,167
40,728
40,953
40,1231
40,1614
41,84
41,167
41,1102
41,1276
41,1334
41,1614
42,345
42,685
42,710
42,853
42,1168
42,1236
42,1295
42,1390
43,345
43,686
43,853
43,1176
43,1236
43,1295
43,1390
43,1450
44,46
44,625
44,745
44,1092
45,130
45,497
45,522
45,1339
45,1340
46,344
46,395
46,433
46,995
46,1022
46,1311
46,1360
46,1466
47,345
47,376
47,434
47,509
47,959
47,1166
47,1218
47,1363
47,1415
47,1555
48,503
48,764
48,1143
48,1252
48,1363
49,95
49,140
49,315
49,505
50,453
50,510
50,1074
50,1167
51,506
51,1122
51,1167
51,1282
51,1331
51,1363
52,233
52,345
52,434
52,506
52,666
52,780
52,993
52,1167
52,1314
52,1577
53,21
53,506
53,1088
53,1282
53,1314
54,345
54,613
54,883
54,1186
54,1390
55,284
55,345
55,835
55,1390
56,345
56,501
56,1390
56,1512
57,495
57,719
57,855
57,1125
57,1167
57,1466
57,1596
58,284
58,631
58,1223
58,1403
59,343
59,719
59,835
59,959
59,1385
59,1484
59,1596
59,1608
60,855
60,997
60,1166
60,1596
61,6
61,38
61,344
61,393
61,433
61,658
61,938
61,956
61,990
61,1033
61,1232
61,1339
62,343
62,371
62,1130
62,1571
62,1614
63,433
63,993
63,1125
63,1167
64,56
64,256
64,855
64,1166
64,1571
64,1596
65,510
65,903
65,1554
66,605
66,697
66,1253
67,442
67,701
67,716
67,719
67,1224
68,1253
68,1466
68,1571
69,107
69,505
69,701
69,1092
70,269
70,773
70,793
70,896
70,927
71,38
71,85
71,116
71,465
71,653
71,896
71,1277
72,63
72,85
72,792
72,896
72,917
72,972
72,1006
72,1276
73,85
73,418
73,575
73,738
73,780
73,1277
73,1340
74,269
74,343
74,662
74,780
74,782
74,1239
74,1428
74,1571
75,333
75,489
75,719
75,778
75,1253
75,1410
76,831
77,197
77,766
77,903
77,1384
78,246
78,310
78,420
78,497
78,924
78,935
78,1448
79,130
79,790
80,41
80,697
80,906
80,1410
81,639
81,661
81,710
82,6
82,469
82,883
82,1077
82,1268
82,1537
83,1538
84,164
84,510
84,621
84,1478
85,30
85,44
85,116
85,1003
85,1416
85,1596
86,345
86,411
86,1300
86,1390
86,1538
86,1571
87,63
87,164
87,621
87,707
87,922
87,1430
88,6
88,116
88,710
88,725
88,982
88,1154
89,453
89,709
89,780
89,922
89,1300
89,1428
89,1537
90,57
90,1125
90,1166
91,3
91,831
92,118
92,345
92,727
92,780
92,1129
92,1466
93,39
93,764
93,780
93,997
93,1166
93,1172
94,560
94,764
94,999
94,1172
94,1311
94,1529
94,1567
95,57
95,65
95,116
95,699
95,953
95,1167
95,1282
95,1411
95,1446
96,297
96,1168
96,1330
96,1504
97,315
97,953
97,1166
97,1421
98,46
98,653
98,676
98,707
98,764
98,855
98,1051
98,1595
99,993
99,1166
100,39
100,345
100,430
100,704
100,764
100,1390
101,178
101,289
101,735
102,344
102,778
102,871
102,972
102,1006
102,1133
102,1220
102,1548
103,116
103,993
103,1167
103,1259
103,1276
104,30
104,566
104,917
104,946
104,979
104,1166
105,719
105,840
105,1046
105,1541
106,28
106,32
106,433
106,1236
106,1541
107,32
107,116
107,354
107,1466
107,1541
108,116
108,366
108,822
108,949
108,1375
108,1541
