vault_id,group_id,imp_dram_a_read,imp_dram_b_read,imp_dram_c_read,imp_dram_c_write,imp_sram_a_read,imp_sram_b_read,imp_sram_a_write,imp_sram_b_write,imp_num_mac_op,imp_end_time
0,0,3072,70144,143360,143360,3360,143360,3072,70144,35840,30640
0,1,3072,75776,142848,142848,3348,142848,3072,75776,35712,34384
1,0,3072,76800,142848,142848,3348,142848,3072,76800,35712,35254
1,1,3072,75264,144384,144384,3384,144384,3072,75264,36096,33161
2,0,3072,60416,143360,143360,3360,143360,3072,60416,35840,29304
2,1,3072,55296,143360,143360,3360,143360,3072,55296,35840,25568
3,0,3072,71168,143872,143872,3372,143872,3072,71168,35968,30266
3,1,3072,54784,143360,143360,3360,143360,3072,54784,35840,27428
4,0,3072,75776,144384,144384,3384,144384,3072,75776,36096,30065
4,1,3072,70656,143360,143360,3360,143360,3072,70656,35840,32108
5,0,3072,58880,142848,142848,3348,142848,3072,58880,35712,30161
5,1,3072,63488,144896,144896,3396,144896,3072,63488,36224,33005
6,0,3072,67072,143872,143872,3372,143872,3072,67072,35968,34049
6,1,3072,63488,142848,142848,3348,142848,3072,63488,35712,32078
7,0,3072,57344,143872,143872,3372,143872,3072,57344,35968,27062
7,1,3072,60928,143360,143360,3360,143360,3072,60928,35840,31172
8,0,3072,69120,142848,142848,3348,142848,3072,69120,35712,33239
8,1,3072,58880,143360,143360,3360,143360,3072,58880,35840,29291
9,0,3072,61440,144896,144896,3396,144896,3072,61440,36224,30764
9,1,3072,66560,143360,143360,3360,143360,3072,66560,35840,32405
10,0,3072,61952,142848,142848,3348,142848,3072,61952,35712,33311
10,1,3072,66560,143872,143872,3372,143872,3072,66560,35968,29810
11,0,3072,67584,142848,142848,3348,142848,3072,67584,35712,34595
11,1,3072,74240,142848,142848,3348,142848,3072,74240,35712,32288
12,0,3072,73728,142848,142848,3348,142848,3072,73728,35712,35734
12,1,3072,66048,142848,142848,3348,142848,3072,66048,35712,30527
13,0,3072,69120,143872,143872,3372,143872,3072,69120,35968,33299
13,1,3072,75776,143360,143360,3360,143360,3072,75776,35840,36958
14,0,3072,81920,143360,143360,3360,143360,3072,81920,35840,36530
14,1,3072,80384,142848,142848,3348,142848,3072,80384,35712,38863
15,0,3072,100352,143872,143872,3372,143872,3072,100352,35968,38905
15,1,2048,73728,92672,92672,2172,92672,2048,73728,23168,25394
