vault_id,group_id,imp_dram_a_read,imp_dram_b_read,imp_dram_c_read,imp_dram_c_write,imp_sram_a_read,imp_sram_b_read,imp_sram_a_write,imp_sram_b_write,imp_num_mac_op,imp_end_time
0,0,3072,4384,8960,8960,3360,8960,3072,4384,2240,3721
0,1,3072,4736,8928,8928,3348,8928,3072,4736,2232,4300
1,0,3072,4800,8928,8928,3348,8928,3072,4800,2232,3701
1,1,3072,4704,9024,9024,3384,9024,3072,4704,2256,4426
2,0,3072,3776,8960,8960,3360,8960,3072,3776,2240,3471
2,1,3072,3456,8960,8960,3360,8960,3072,3456,2240,4055
3,0,3072,4448,8992,8992,3372,8992,3072,4448,2248,4112
3,1,3072,3424,8960,8960,3360,8960,3072,3424,2240,3293
4,0,3072,4736,9024,9024,3384,9024,3072,4736,2256,3980
4,1,3072,4416,8960,8960,3360,8960,3072,4416,2240,4444
5,0,3072,3680,8928,8928,3348,8928,3072,3680,2232,3863
5,1,3072,3968,9056,9056,3396,9056,3072,3968,2264,4427
6,0,3072,4192,8992,8992,3372,8992,3072,4192,2248,4073
6,1,3072,3968,8928,8928,3348,8928,3072,3968,2232,3356
7,0,3072,3584,8992,8992,3372,8992,3072,3584,2248,3461
7,1,3072,3808,8960,8960,3360,8960,3072,3808,2240,3920
8,0,3072,4320,8928,8928,3348,8928,3072,4320,2232,4564
8,1,3072,3680,8960,8960,3360,8960,3072,3680,2240,3776
9,0,3072,3840,9056,9056,3396,9056,3072,3840,2264,3962
9,1,3072,4160,8960,8960,3360,8960,3072,4160,2240,4538
10,0,3072,3872,8928,8928,3348,8928,3072,3872,2232,4073
10,1,3072,4160,8992,8992,3372,8992,3072,4160,2248,4753
11,0,3072,4224,8928,8928,3348,8928,3072,4224,2232,4643
11,1,3072,4640,8928,8928,3348,8928,3072,4640,2232,5164
12,0,3072,4608,8928,8928,3348,8928,3072,4608,2232,5404
12,1,3072,4128,8928,8928,3348,8928,3072,4128,2232,4881
13,0,3072,4320,8992,8992,3372,8992,3072,4320,2248,4796
13,1,3072,4736,8960,8960,3360,8960,3072,4736,2240,5303
14,0,3072,5120,8960,8960,3360,8960,3072,5120,2240,5638
14,1,3072,5024,8928,8928,3348,8928,3072,5024,2232,5731
15,0,3072,6272,8992,8992,3372,8992,3072,6272,2248,5821
15,1,2048,4608,5792,5792,2172,5792,2048,4608,1448,3470
