0.78209,0.24104,2924.3,0,3608.8,2.0615
0.7835,0.24407,2914,5.547,3617.4,2.0586
0.80575,0.2441,2877.3,5.453,3570.7,2.0466
0.82301,0.24383,2856.7,5.453,3544.8,2.0349
0.82647,0.24332,2863.2,0,3547,2.0384
0.8463,0.24351,2832.4,5.453,3512.5,2.0245
0.84681,0.24382,2828.2,0,3512.3,2.0115
0.85753,0.24316,2802.7,5.453,3481.5,1.9991
0.87459,0.24222,2781.6,5.469,3451.4,1.9898
0.87698,0.24002,2802.7,5.453,3448.8,1.9908
0.89026,0.24013,2764.6,5.438,3415.7,1.9737
0.91866,0.23761,2732.5,8.39,3361.1,1.9536
0.92662,0.23657,2707,5.453,3334.9,1.9501
0.93546,0.23517,2693.6,5.453,3312.7,1.9387
0.94313,0.2321,2712.9,5.594,3300.1,1.9273
0.95403,0.22955,2702.3,5.437,3267.7,1.9255
0.96563,0.22934,2655.7,0,3233.7,1.9067
0.97583,0.22798,2637.7,5.532,3207.4,1.9023
0.95781,0.21019,2849.6,3443.6,3177.5,1.8851
0.82424,0.23976,2855.2,3770.7,3507.4,2.0163
0.86001,0.23717,2835.6,3688.4,3451,1.9964
0.88226,0.23333,2825.4,3668.3,3406,1.9786
0.91146,0.22916,2797,3615.2,3341.8,1.9649
0.92756,0.22579,2769.9,3582,3285.5,1.9391
0.94554,0.22292,2753.6,3535.7,3240.9,1.9157
0.95354,0.22118,2753.7,3498.5,3228.6,1.9201
0.97374,0.21782,2716.2,3423.4,3171.6,1.9019
0.98554,0.21535,2699.5,3450.9,3138.9,1.8815
0.99729,0.21246,2685.1,3400.6,3105.2,1.8769
0.995,0.20525,2738.4,3412.9,3062.1,1.865
0.82319,0.22139,2707.6,3540.3,3219.5,1.916
0.86499,0.21648,2669.6,3383.9,3136.8,1.8844
0.89097,0.21132,2642.9,3420.5,3079.4,1.8683
0.91417,0.2062,2620.3,3355.2,3024.5,1.8411
0.92698,0.20397,2604.8,3298.2,2991.3,1.8353
0.94064,0.20206,2582.9,3310,2961.7,1.8224
0.95663,0.19757,2558.9,3234.2,2915,1.8032
0.96873,0.19388,2533.3,3243.7,2872.1,1.7961
0.98366,0.19008,2515.8,3121.6,2832,1.7819
0.99247,0.18875,2497.3,3204.3,2808.1,1.7693
1.0001,0.18777,2480,3147.5,2786.4,1.7578
1.0082,0.18491,2460.9,3128.4,2757.6,1.7477
0.9814,0.17877,2571.5,3158.6,2762.1,1.7743
0.98865,0.18605,2484,3209.9,2782.7,1.7763
1.0154,0.17931,2439,3152.7,2710.2,1.7421
1.0316,0.17454,2412.5,3096.1,2663.6,1.7277
1.0099,0.17361,2508,2997.2,2666.2,1.7122
