area(wards,Boroughs) KBIfraction originalfration
E05000106 0.810344827586 0.4426
E05000107 0.802631578947 0.647
E05000108 0.823008849558 0.5278
E05000109 0.946153846154 0.4266
E05000110 0.873873873874 0.5408
E05000111 0.810344827586 0.4711
E05000112 0.966386554622 0.3954
E05000113 0.860465116279 0.4173
E05000114 0.824561403509 0.6459
E05000115 0.892561983471 0.6471
E05000116 0.884210526316 0.3505
E05000117 0.9 0.646
E05000118 0.901785714286 0.5423
E05000119 0.775 0.5227
E05000120 0.841666666667 0.4687
E05000121 0.808219178082 0.5857
E05000122 0.762711864407 0.5817
E05000123 0.976923076923 0.3782
E05000124 0.820754716981 0.4908
E05000125 0.905172413793 0.4604
E05000126 0.763157894737 0.4687
E05000127 0.794642857143 0.498
E05000128 0.980198019802 0.2258
E05000129 0.232323232323 0.2694
E05000130 0.990291262136 0.2421
E05000131 0.5 0.2175
E05000132 0.708333333333 0.2029
E05000133 1.0 0.2082
E05000134 0.953488372093 0.2839
E05000135 0.888888888889 0.2027
E05000136 0.915789473684 0.2911
E05000137 0.616279069767 0.2294
E05000138 0.945454545455 0.3054
E05000139 0.675925925926 0.2074
E05000140 0.989583333333 0.298
E05000141 0.247422680412 0.2525
E05000142 0.376146788991 0.3198
E05000143 0.669811320755 0.3337
E05000144 0.75 0.2203
E05000145 0.205882352941 0.2157
E05000146 0.977099236641 0.4393
E05000147 0.898148148148 0.5
E05000148 0.991452991453 0.4919
E05000149 0.885496183206 0.4197
E05000150 0.787234042553 0.5354
E05000151 0.782178217822 0.4077
E05000152 0.967741935484 0.4732
E05000153 0.969465648855 0.456
E05000154 0.876712328767 0.6201
E05000155 0.841584158416 0.5218
E05000156 0.814159292035 0.4788
E05000157 0.906666666667 0.648
E05000158 0.967741935484 0.3712
E05000159 0.919642857143 0.4131
E05000160 0.752577319588 0.4803
E05000161 0.984496124031 0.5232
E05000162 0.817204301075 0.4233
E05000163 0.841121495327 0.4986
E05000164 0.983870967742 0.3391
E05000165 1.0 0.3791
E05000166 0.99173553719 0.3387
E05000167 0.984126984127 0.454
E05000168 0.991869918699 0.4345
E05000169 0.865546218487 0.4066
E05000170 0.974576271186 0.3219
E05000171 0.972222222222 0.3022
E05000172 0.990196078431 0.4699
E05000173 0.982608695652 0.2613
E05000174 0.991228070175 0.3041
E05000175 0.604166666667 0.3299
E05000176 0.991071428571 0.3437
E05000177 0.984375 0.5037
E05000178 0.972222222222 0.4734
E05000179 0.98347107438 0.2922
E05000180 0.990384615385 0.3998
E05000181 0.990476190476 0.4729
E05000183 0.955357142857 0.5062
E05000182 1.0 0.2875
E05000184 1.0 0.4929
E05000185 0.981132075472 0.5332
E05000186 0.980952380952 0.4234
E05000187 0.974358974359 0.4623
E05000188 0.991150442478 0.314
E05000189 1.0 0.4948
E05000190 0.915887850467 0.4906
E05000191 0.990654205607 0.2411
E05000192 1.0 0.281
E05000193 0.963963963964 0.3458
E05000194 0.888888888889 0.4255
E05000195 0.921568627451 0.5071
E05000196 0.834862385321 0.4089
E05000197 0.925619834711 0.453
E05000198 0.90990990991 0.5052
E05000199 0.910714285714 0.4968
E05000200 0.76 0.4141
E05000201 0.885964912281 0.4389
E05000202 0.854368932039 0.4687
E05000203 0.912621359223 0.5013
E05000204 0.910714285714 0.4823
E05000205 0.982905982906 0.3602
E05000206 0.880733944954 0.454
E05000207 0.911764705882 0.4807
E05000208 0.955357142857 0.3824
E05000209 0.861111111111 0.3658
E05000210 0.893805309735 0.4628
E05000211 0.97 0.5318
E05000212 0.97520661157 0.4393
E05000213 0.865384615385 0.3676
E05000214 0.889908256881 0.5423
E05000215 0.826923076923 0.2945
E05000216 0.943925233645 0.4141
E05000217 0.891089108911 0.5791
E05000218 0.814432989691 0.5174
E05000219 0.94 0.5569
E05000220 0.789473684211 0.56
E05000221 0.857142857143 0.4594
E05000222 0.30534351145 0.2365
E05000223 0.935185185185 0.4811
E05000224 0.89 0.4923
E05000225 0.428571428571 0.309
E05000226 0.884297520661 0.5063
E05000227 0.910891089109 0.4411
E05000228 0.746268656716 0.4459
E05000229 0.818181818182 0.3892
E05000230 0.661870503597 0.4051
E05000266 0.943181818182 0.1973
E05000267 0.906542056075 0.3904
E05000268 0.952830188679 0.1919
E05000269 0.90099009901 0.2732
E05000270 0.989361702128 0.28
E05000271 0.275229357798 0.2437
E05000272 0.957894736842 0.1646
E05000273 0.848484848485 0.3386
E05000274 0.964705882353 0.1899
E05000275 0.682242990654 0.2613
E05000276 0.949494949495 0.1503
E05000278 0.828828828829 0.3017
E05000277 0.763157894737 0.3755
E05000279 0.606382978723 0.1891
E05000280 0.891891891892 0.2056
E05000281 0.899082568807 0.1553
E05000282 0.960784313725 0.2964
E05000283 0.923076923077 0.2936
E05000284 0.794642857143 0.2709
E05000285 0.904761904762 0.4647
E05000286 0.845360824742 0.3871
E05000287 0.988636363636 0.5151
E05000288 0.79797979798 0.461
E05000289 0.944444444444 0.3996
E05000290 0.872093023256 0.5019
E05000291 0.682926829268 0.3983
E05000292 0.705128205128 0.3997
E05000293 0.988095238095 0.4241
E05000294 1.0 0.4161
E05000295 0.977011494253 0.4834
E05000296 1.0 0.5084
E05000297 0.717948717949 0.3907
E05000298 0.675324675325 0.4577
E05000299 1.0 0.5414
E05000300 0.939759036145 0.437
E05000301 1.0 0.4682
E05000302 0.988095238095 0.4765
E05000303 0.772727272727 0.4299
E05000304 1.0 0.5387
E05000305 0.961538461538 0.4231
E05000306 0.910714285714 0.6488
E05000307 0.826530612245 0.6459
E05000308 0.855670103093 0.7167
E05000309 0.810526315789 0.6422
E05000310 0.830188679245 0.7593
E05000311 0.927835051546 0.7305
E05000312 0.707070707071 0.6923
E05000313 0.845360824742 0.7709
E05000314 0.860215053763 0.7897
E05000315 0.85 0.6972
E05000316 0.79797979798 0.7573
E05000317 0.901960784314 0.7133
E05000318 0.842105263158 0.7553
E05000319 0.873015873016 0.6243
E05000321 0.881188118812 0.7606
E05000322 0.796116504854 0.6543
E05000320 0.77358490566 0.6982
E05000323 0.90099009901 0.6301
E05000346 0.989361702128 0.64
E05000347 0.911504424779 0.4392
E05000348 1.0 0.2668
E05000349 0.944444444444 0.2646
E05000350 0.95652173913 0.5597
E05000351 0.977011494253 0.6647
E05000352 0.816513761468 0.6434
E05000353 0.988505747126 0.5597
E05000354 0.96511627907 0.5733
E05000355 1.0 0.4937
E05000356 0.989247311828 0.4715
E05000357 0.988888888889 0.4948
E05000358 0.756302521008 0.4896
E05000359 0.796296296296 0.4882
E05000360 0.977011494253 0.4417
E05000361 0.95 0.5101
E05000362 0.955555555556 0.4508
E05000363 0.93137254902 0.6341
E05000364 0.980769230769 0.4538
E05000365 1.0 0.2718
E05000366 0.61 0.2782
E05000367 0.276422764228 0.3097
E05000368 0.58407079646 0.3111
E05000369 0.8125 0.2787
E05000370 0.288659793814 0.3029
E05000371 0.580357142857 0.223
E05000372 0.913978494624 0.1922
E05000373 0.262295081967 0.193
E05000374 0.901098901099 0.2267
E05000375 0.371900826446 0.2669
E05000376 0.795918367347 0.2425
E05000377 0.465346534653 0.2218
E05000378 0.767676767677 0.2205
E05000379 0.5625 0.2408
E05000380 0.711340206186 0.2781
E05000381 0.6 0.2114
E05000416 0.5 0.2967
E05000417 0.294573643411 0.1832
E05000418 0.27619047619 0.1804
E05000419 0.184210526316 0.198
E05000420 0.448 0.199
E05000421 0.157480314961 0.2097
E05000422 0.871287128713 0.2502
E05000423 0.64406779661 0.1701
E05000424 1.0 0.2315
E05000425 0.202898550725 0.2012
E05000426 0.6 0.2159
E05000427 0.947368421053 0.2541
E05000428 0.422413793103 0.2091
E05000429 0.629310344828 0.2297
E05000430 0.633928571429 0.1921
E05000431 0.962962962963 0.2658
E05000432 0.686956521739 0.2168
E05000433 0.610526315789 0.2047
E05000434 0.95145631068 0.2185
E05000435 0.436974789916 0.1963
E05000436 0.531531531532 0.2141
E05000455 0.440476190476 0.2654
E05000456 0.847222222222 0.4299
E05000457 0.5 0.3137
E05000458 0.963855421687 0.4897
E05000459 0.773333333333 0.242
E05000460 0.975609756098 0.4557
E05000461 0.986842105263 0.3547
E05000462 0.88 0.272
E05000463 0.666666666667 0.4347
E05000464 0.986486486486 0.4189
E05000465 0.842857142857 0.5177
E05000466 0.876712328767 0.2946
E05000467 0.958904109589 0.4562
E05000468 0.986486486486 0.504
E05000469 0.853333333333 0.3029
E05000470 0.974025974026 0.5141
E05000471 0.538461538462 0.2616
E05000472 0.369230769231 0.2729
