area(wards,Boroughs) KBIfraction originalfration
E05000106 0.870689655172 0.4426
E05000107 0.947368421053 0.647
E05000108 0.982300884956 0.5278
E05000109 0.892307692308 0.4266
E05000110 0.891891891892 0.5408
E05000111 0.879310344828 0.4711
E05000112 0.949579831933 0.3954
E05000113 0.937984496124 0.4173
E05000114 0.973684210526 0.6459
E05000115 0.96694214876 0.6471
E05000116 1.0 0.3505
E05000117 0.925 0.646
E05000118 0.9375 0.5423
E05000119 0.9 0.5227
E05000120 0.908333333333 0.4687
E05000121 1.0 0.5857
E05000122 0.923728813559 0.5817
E05000123 1.0 0.3782
E05000124 0.735849056604 0.4908
E05000125 0.974137931034 0.4604
E05000126 0.907894736842 0.4687
E05000127 0.883928571429 0.498
E05000128 0.376237623762 0.2258
E05000129 1.0 0.2694
E05000130 0.679611650485 0.2421
E05000131 1.0 0.2175
E05000132 0.614583333333 0.2029
E05000133 0.189473684211 0.2082
E05000134 0.988372093023 0.2839
E05000135 0.188888888889 0.2027
E05000136 0.936842105263 0.2911
E05000137 0.604651162791 0.2294
E05000138 0.990909090909 0.3054
E05000139 0.981481481481 0.2074
E05000140 0.9375 0.298
E05000141 1.0 0.2525
E05000142 0.990825688073 0.3198
E05000143 0.990566037736 0.3337
E05000144 0.355769230769 0.2203
E05000145 0.754901960784 0.2157
E05000146 0.946564885496 0.4393
E05000147 1.0 0.5
E05000148 1.0 0.4919
E05000149 0.931297709924 0.4197
E05000150 0.872340425532 0.5354
E05000151 0.80198019802 0.4077
E05000152 0.911290322581 0.4732
E05000153 1.0 0.456
E05000154 0.958904109589 0.6201
E05000155 0.990099009901 0.5218
E05000156 0.787610619469 0.4788
E05000157 0.986666666667 0.648
E05000158 1.0 0.3712
E05000159 0.883928571429 0.4131
E05000160 0.824742268041 0.4803
E05000161 0.953488372093 0.5232
E05000162 0.881720430108 0.4233
E05000163 1.0 0.4986
E05000164 0.975806451613 0.3391
E05000165 0.974358974359 0.3791
E05000166 1.0 0.3387
E05000167 0.97619047619 0.454
E05000168 0.991869918699 0.4345
E05000169 0.974789915966 0.4066
E05000170 0.932203389831 0.3219
E05000171 0.703703703704 0.3022
E05000172 0.862745098039 0.4699
E05000173 0.660869565217 0.2613
E05000174 0.745614035088 0.3041
E05000175 0.9375 0.3299
E05000176 0.776785714286 0.3437
E05000177 0.71875 0.5037
E05000178 0.75 0.4734
E05000179 0.702479338843 0.2922
E05000180 0.836538461538 0.3998
E05000181 0.857142857143 0.4729
E05000183 0.848214285714 0.5062
E05000182 0.537735849057 0.2875
E05000184 0.827272727273 0.4929
E05000185 0.820754716981 0.5332
E05000186 0.819047619048 0.4234
E05000187 0.854700854701 0.4623
E05000188 0.87610619469 0.314
E05000189 0.85 0.4948
E05000190 0.934579439252 0.4906
E05000191 0.579439252336 0.2411
E05000192 0.580952380952 0.281
E05000193 0.972972972973 0.3458
E05000194 0.953703703704 0.4255
E05000195 0.980392156863 0.5071
E05000196 0.880733944954 0.4089
E05000197 0.925619834711 0.453
E05000198 0.972972972973 0.5052
E05000199 0.830357142857 0.4968
E05000200 0.84 0.4141
E05000201 0.991228070175 0.4389
E05000202 0.873786407767 0.4687
E05000203 0.990291262136 0.5013
E05000204 0.982142857143 0.4823
E05000205 0.965811965812 0.3602
E05000206 0.899082568807 0.454
E05000207 0.950980392157 0.4807
E05000208 0.848214285714 0.3824
E05000209 0.898148148148 0.3658
E05000210 0.893805309735 0.4628
E05000211 0.93 0.5318
E05000212 0.99173553719 0.4393
E05000213 0.826923076923 0.3676
E05000214 0.981651376147 0.5423
E05000215 0.807692307692 0.2945
E05000216 1.0 0.4141
E05000217 1.0 0.5791
E05000218 0.969072164948 0.5174
E05000219 0.96 0.5569
E05000220 1.0 0.56
E05000221 1.0 0.4594
E05000222 1.0 0.2365
E05000223 1.0 0.4811
E05000224 1.0 0.4923
E05000225 1.0 0.309
E05000226 0.99173553719 0.5063
E05000227 0.990099009901 0.4411
E05000228 1.0 0.4459
E05000229 0.95867768595 0.3892
E05000230 0.985611510791 0.4051
E05000266 0.522727272727 0.1973
E05000267 0.981308411215 0.3904
E05000268 1.0 0.1919
E05000269 0.465346534653 0.2732
E05000270 0.489361702128 0.28
E05000271 1.0 0.2437
E05000272 0.442105263158 0.1646
E05000273 0.989898989899 0.3386
E05000274 0.376470588235 0.1899
E05000275 0.953271028037 0.2613
E05000276 0.949494949495 0.1503
E05000278 1.0 0.3017
E05000277 1.0 0.3755
E05000279 0.989361702128 0.1891
E05000280 0.954954954955 0.2056
E05000281 0.954128440367 0.1553
E05000282 0.990196078431 0.2964
E05000283 0.967032967033 0.2936
E05000284 0.964285714286 0.2709
E05000285 0.77380952381 0.4647
E05000286 0.845360824742 0.3871
E05000287 0.886363636364 0.5151
E05000288 0.89898989899 0.461
E05000289 0.744444444444 0.3996
E05000290 0.872093023256 0.5019
E05000291 0.719512195122 0.3983
E05000292 0.769230769231 0.3997
E05000293 0.630952380952 0.4241
E05000294 0.906976744186 0.4161
E05000295 0.885057471264 0.4834
E05000296 0.795698924731 0.5084
E05000297 0.769230769231 0.3907
E05000298 0.701298701299 0.4577
E05000299 0.898876404494 0.5414
E05000300 0.795180722892 0.437
E05000301 0.736263736264 0.4682
E05000302 0.797619047619 0.4765
E05000303 0.784090909091 0.4299
E05000304 0.80487804878 0.5387
E05000305 0.717948717949 0.4231
E05000306 0.964285714286 0.6488
E05000307 0.918367346939 0.6459
E05000308 1.0 0.7167
E05000309 0.915789473684 0.6422
E05000310 0.952830188679 0.7593
E05000311 0.896907216495 0.7305
E05000312 0.919191919192 0.6923
E05000313 0.989690721649 0.7709
E05000314 0.956989247312 0.7897
E05000315 0.91 0.6972
E05000316 1.0 0.7573
E05000317 0.892156862745 0.7133
E05000318 0.978947368421 0.7553
E05000319 0.944444444444 0.6243
E05000321 0.990099009901 0.7606
E05000322 0.902912621359 0.6543
E05000320 0.915094339623 0.6982
E05000323 0.891089108911 0.6301
E05000346 0.840425531915 0.64
E05000347 0.840707964602 0.4392
E05000348 0.516853932584 0.2668
E05000349 0.622222222222 0.2646
E05000350 0.836956521739 0.5597
E05000351 0.885057471264 0.6647
E05000352 0.706422018349 0.6434
E05000353 0.908045977011 0.5597
E05000354 0.895348837209 0.5733
E05000355 0.79347826087 0.4937
E05000356 0.89247311828 0.4715
E05000357 0.833333333333 0.4948
E05000358 0.899159663866 0.4896
E05000359 0.898148148148 0.4882
E05000360 0.804597701149 0.4417
E05000361 0.93 0.5101
E05000362 0.9 0.4508
E05000363 0.78431372549 0.6341
E05000364 0.769230769231 0.4538
E05000365 0.648936170213 0.2718
E05000366 0.84 0.2782
E05000367 0.975609756098 0.3097
E05000368 0.982300884956 0.3111
E05000369 0.947916666667 0.2787
E05000370 0.824742268041 0.3029
E05000371 0.991071428571 0.223
E05000372 0.569892473118 0.1922
E05000373 0.926229508197 0.193
E05000374 0.967032967033 0.2267
E05000375 0.95041322314 0.2669
E05000376 0.938775510204 0.2425
E05000377 0.990099009901 0.2218
E05000378 0.969696969697 0.2205
E05000379 0.708333333333 0.2408
E05000380 0.917525773196 0.2781
E05000381 0.990476190476 0.2114
E05000416 0.975609756098 0.2967
E05000417 1.0 0.1832
E05000418 0.685714285714 0.1804
E05000419 0.947368421053 0.198
E05000420 0.992 0.199
E05000421 1.0 0.2097
E05000422 1.0 0.2502
E05000423 1.0 0.1701
E05000424 1.0 0.2315
E05000425 1.0 0.2012
E05000426 1.0 0.2159
E05000427 0.991228070175 0.2541
E05000428 1.0 0.2091
E05000429 1.0 0.2297
E05000430 0.991071428571 0.1921
E05000431 1.0 0.2658
E05000432 1.0 0.2168
E05000433 0.915789473684 0.2047
E05000434 0.970873786408 0.2185
E05000435 0.991596638655 0.1963
E05000436 0.972972972973 0.2141
E05000455 0.97619047619 0.2654
E05000456 0.944444444444 0.4299
E05000457 0.988636363636 0.3137
E05000458 1.0 0.4897
E05000459 0.666666666667 0.242
E05000460 0.951219512195 0.4557
E05000461 0.986842105263 0.3547
E05000462 0.68 0.272
E05000463 0.987179487179 0.4347
E05000464 1.0 0.4189
E05000465 1.0 0.5177
E05000466 0.876712328767 0.2946
E05000467 1.0 0.4562
E05000468 0.986486486486 0.504
E05000469 0.64 0.3029
E05000470 0.987012987013 0.5141
E05000471 0.923076923077 0.2616
