area(wards,Boroughs) KBIfraction originalfration
E05000106 0.862068965517 0.4426
E05000107 1.0 0.647
E05000108 1.0 0.5278
E05000109 0.961538461538 0.4266
E05000110 0.927927927928 0.5408
E05000111 0.939655172414 0.4711
E05000112 0.991596638655 0.3954
E05000113 0.953488372093 0.4173
E05000114 1.0 0.6459
E05000115 0.99173553719 0.6471
E05000116 0.968421052632 0.3505
E05000117 1.0 0.646
E05000118 1.0 0.5423
E05000119 0.958333333333 0.5227
E05000120 0.991666666667 0.4687
E05000121 1.0 0.5857
E05000122 1.0 0.5817
E05000123 0.976923076923 0.3782
E05000124 0.792452830189 0.4908
E05000125 1.0 0.4604
E05000126 0.842105263158 0.4687
E05000127 0.982142857143 0.498
E05000128 0.415841584158 0.2258
E05000129 1.0 0.2694
E05000130 0.883495145631 0.2421
E05000131 1.0 0.2175
E05000132 0.84375 0.2029
E05000133 0.136842105263 0.2082
E05000134 0.976744186047 0.2839
E05000135 0.2 0.2027
E05000136 0.968421052632 0.2911
E05000137 0.802325581395 0.2294
E05000138 1.0 0.3054
E05000139 1.0 0.2074
E05000140 0.958333333333 0.298
E05000141 1.0 0.2525
E05000142 0.981651376147 0.3198
E05000143 0.962264150943 0.3337
E05000144 0.538461538462 0.2203
E05000145 0.93137254902 0.2157
E05000146 0.977099236641 0.4393
E05000147 1.0 0.5
E05000148 0.965811965812 0.4919
E05000149 0.93893129771 0.4197
E05000150 1.0 0.5354
E05000151 0.90099009901 0.4077
E05000152 0.951612903226 0.4732
E05000153 1.0 0.456
E05000154 0.890410958904 0.6201
E05000155 1.0 0.5218
E05000156 0.991150442478 0.4788
E05000157 0.92 0.648
E05000158 0.975806451613 0.3712
E05000159 0.955357142857 0.4131
E05000160 0.886597938144 0.4803
E05000161 0.937984496124 0.5232
E05000162 0.978494623656 0.4233
E05000163 1.0 0.4986
E05000164 0.991935483871 0.3391
E05000165 0.965811965812 0.3791
E05000166 0.98347107438 0.3387
E05000167 0.968253968254 0.454
E05000168 0.934959349593 0.4345
E05000169 0.991596638655 0.4066
E05000170 0.966101694915 0.3219
E05000171 0.888888888889 0.3022
E05000172 0.941176470588 0.4699
E05000173 0.930434782609 0.2613
E05000174 0.947368421053 0.3041
E05000175 0.965277777778 0.3299
E05000176 0.901785714286 0.3437
E05000177 0.921875 0.5037
E05000178 0.972222222222 0.4734
E05000179 0.892561983471 0.2922
E05000180 0.961538461538 0.3998
E05000181 0.895238095238 0.4729
E05000183 0.982142857143 0.5062
E05000182 0.566037735849 0.2875
E05000184 0.818181818182 0.4929
E05000185 0.943396226415 0.5332
E05000186 0.895238095238 0.4234
E05000187 0.982905982906 0.4623
E05000188 0.938053097345 0.314
E05000189 0.91 0.4948
E05000190 0.915887850467 0.4906
E05000191 0.476635514019 0.2411
