wards KBIfraction originalfration
E05000064 0.7375 0.719733079123
E05000065 0.931034482759 0.504658385093
E05000066 0.827160493827 0.721236925875
E05000067 0.530120481928 0.767461669506
E05000068 0.698795180723 0.715607401448
E05000069 0.423529411765 0.672727272727
E05000070 0.987804878049 0.632278481013
E05000072 0.892857142857 0.674063116371
E05000071 0.927710843373 0.615341545353
E05000073 0.761904761905 0.697085523172
E05000074 0.734939759036 0.642105263158
E05000075 0.896551724138 0.476277372263
E05000076 0.621951219512 0.699814986124
E05000077 0.785714285714 0.570068746695
E05000078 0.530120481928 0.702725020644
E05000079 1.0 0.46115819209
E05000080 0.924050632911 0.642380708055
E05000083 0.46511627907 0.730158730159
E05000081 0.679012345679 0.766731898239
E05000082 0.69512195122 0.666666666667
E05000084 0.853658536585 0.348725017229
E05000106 0.603448275862 0.746629986245
E05000107 0.565789473684 0.834090909091
E05000108 0.575221238938 0.696798493409
E05000109 0.3 0.553546199491
E05000110 0.693693693694 0.750751571468
E05000111 0.76724137931 0.748514851485
E05000112 0.193277310924 0.431309041835
E05000113 0.31007751938 0.612222823148
E05000114 1.0 0.618019709057
E05000115 1.0 0.636661978434
E05000116 0.147368421053 0.257723233178
E05000117 0.875 0.835494327391
E05000118 0.598214285714 0.779539641944
E05000119 0.658333333333 0.740909090909
E05000120 0.408333333333 0.66173245614
E05000121 1.0 0.585213032581
E05000122 0.559322033898 0.733528550512
E05000123 0.246153846154 0.33495423341
E05000124 0.858490566038 0.783337441459
E05000125 0.293103448276 0.598984771574
E05000126 0.842105263158 0.724990633196
E05000127 0.767857142857 0.739893211289
E05000085 0.351851851852 0.32418879056
E05000086 0.186440677966 0.37127284386
E05000087 0.201923076923 0.396256471525
E05000088 0.505263157895 0.324955116697
E05000089 0.210526315789 0.286690647482
E05000090 0.247524752475 0.439052795031
E05000091 0.806722689076 0.180406212664
E05000092 0.15652173913 0.263053797468
E05000093 0.5625 0.631230393865
E05000094 0.0902255639098 0.233846153846
E05000095 0.216 0.33681462141
E05000096 0.336633663366 0.499654696133
E05000097 0.153846153846 0.416778074866
E05000098 0.358333333333 0.35325016415
E05000099 0.234782608696 0.46296870158
E05000100 1.0 0.167151162791
E05000101 0.345132743363 0.358554873892
E05000102 0.401709401709 0.32802124834
E05000103 0.339805825243 0.37489504618
E05000104 0.486956521739 0.35253164557
E05000105 0.157024793388 0.263768115942
E05000285 0.488095238095 0.682179793158
E05000286 0.216494845361 0.687210545066
E05000287 0.238636363636 0.475022301517
E05000288 0.323232323232 0.456838021339
E05000289 0.511111111111 0.52043212776
E05000290 0.220930232558 0.617889908257
E05000291 0.30487804878 0.705290611028
E05000292 0.692307692308 0.616279069767
E05000293 0.297619047619 0.451473136915
E05000294 0.395348837209 0.486361534905
E05000295 0.264367816092 0.614096573209
E05000296 0.290322580645 0.389110225764
E05000297 0.423076923077 0.676143386897
E05000298 0.74025974026 0.677984274482
E05000299 0.359550561798 0.487635574837
E05000300 0.385542168675 0.533942040492
E05000301 0.505494505495 0.391091131998
E05000302 0.22619047619 0.415019762846
E05000303 0.25 0.723285486443
E05000304 0.353658536585 0.396990140114
E05000305 0.358974358974 0.481278923012
E05000043 0.20325203252 0.521698407743
E05000044 0.992248062016 0.322622107969
E05000045 0.103225806452 0.565443425076
E05000046 0.198412698413 0.329398324448
E05000047 0.128787878788 0.395755305868
E05000048 0.223140495868 0.545086119554
E05000049 0.25 0.338443737345
E05000050 0.123966942149 0.735628742515
E05000051 0.483606557377 0.716028840821
E05000052 0.793388429752 0.759516933578
E05000053 0.153846153846 0.705206004471
E05000054 0.165354330709 0.622624963461
E05000055 0.170212765957 0.718048780488
E05000056 0.336134453782 0.576736672052
E05000057 0.194029850746 0.646855010661
E05000058 0.289256198347 0.631455399061
E05000059 0.452173913043 0.67614379085
E05000060 0.327731092437 0.481170245876
E05000061 0.30534351145 0.459441489362
E05000062 0.172932330827 0.554902680867
E05000063 0.176470588235 0.436090225564
E05000128 0.811881188119 0.49048013245
E05000129 0.606060606061 0.320322180917
E05000130 0.68932038835 0.325885978428
E05000131 0.177083333333 0.184009642427
E05000132 0.739583333333 0.388611803824
E05000133 0.968421052632 0.622854340363
E05000134 0.174418604651 0.244129554656
E05000135 1.0 0.515430677107
E05000136 0.210526315789 0.217145167812
E05000137 0.546511627907 0.282340116279
E05000138 0.809090909091 0.267954640907
E05000139 0.231481481481 0.163252240717
E05000140 0.15625 0.254875886525
E05000141 0.0309278350515 0.202052944354
E05000142 0.045871559633 0.219079780498
E05000143 0.415094339623 0.148532569792
E05000144 0.721153846154 0.46033703247
E05000145 0.480392156863 0.368585977282
E05000026 0.315217391304 0.203330411919
E05000027 1.0 0.374650512582
E05000028 0.987654320988 0.296251511487
E05000029 1.0 0.385219097449
E05000030 0.987012987013 0.487426035503
E05000031 0.9875 0.264607118872
E05000032 0.728395061728 0.185926404132
E05000033 1.0 0.336833602585
E05000034 1.0 0.340255591054
E05000035 0.542168674699 0.283454987835
E05000036 1.0 0.336753731343
E05000037 1.0 0.370335820896
E05000038 1.0 0.302485004284
E05000039 0.985714285714 0.22799763733
E05000040 1.0 0.320450885668
E05000041 1.0 0.374613003096
E05000042 0.973684210526 0.407570977918
E05000475 0.535714285714 0.277653631285
