vault_id,group_id,imp_dram_a_read,imp_dram_b_read,imp_dram_c_read,imp_dram_c_write,imp_sram_a_read,imp_sram_b_read,imp_sram_a_write,imp_sram_b_write,imp_num_mac_op,imp_end_time
0,0,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,225571
0,1,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,226696
1,0,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,225482
1,1,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,226523
2,0,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,223565
2,1,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,225596
3,0,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,224723
3,1,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,226711
4,0,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,225437
4,1,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,226499
5,0,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,225119
5,1,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,227251
6,0,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,226217
6,1,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,226772
7,0,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,225128
7,1,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,226565
8,0,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,224696
8,1,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,226664
9,0,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,224174
9,1,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,226106
10,0,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,224039
10,1,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,226436
11,0,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,223700
11,1,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,225827
12,0,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,223691
12,1,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,226244
13,0,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,224573
13,1,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,226814
14,0,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,225491
14,1,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,226739
15,0,72192,65536,4587520,4587520,107520,4587520,72192,65536,1146880,225095
15,1,61952,65536,3932160,3932160,92160,3932160,61952,65536,983040,194693
